Country,PSMSL_site,NOAA_name,PSMSLID,NOAAID,lat,lon
United States,BOSTON,Boston,235,8443970,42.353,-71.053
United States,LOS_ANGELES,Los Angeles,245,9410660,33.72,-118.272
United States,MAYPORT,Mayport (Bar Pilots Dock),2326,8720218,30.398,-81.428
United States,MIDWAY_ISLAND,Sand Island Midway Islands,523,1619910,28.212,-177.36
United States,SAN_FRANCISCO,San Francisco,10,9414290,38.807,-122.465
China,QUARRY BAY,NaN,1674,NaN,22.291,114.213
Italy,SALERNO,NaN,2086,NaN,40.677,14.751
Spain,SINES,NaN,1456,NaN,37.95,-8.883
Spain,FUERTEVENTURA,NaN,2048,NaN,28.493,-13.858
South Africa,PORT ELIZABETH,NaN,820,NaN,-33.951,25.63
Chile,IQUIQUE,NaN,1963,NaN,-20.217,-70.167
Singapore,SULTAN SHOAL,NaN,1248,NaN,1.233,103.65
France,LES SABLES D OLONEE,NaN,1747,NaN,46.498,-1.794
Brazil,ILHA FISCAL,NaN,1032,NaN,-22.897,-43.167
India,MORMUGAO,NaN,1249,NaN,15.417,73.8
New Zealand,TAURANGA,NaN,1590,NaN,-37.641,176.181
South Korea,SOKCHO,NaN,2257,NaN,38.199,128.613
Sweden,SKANOR,NaN,2108,NaN,55.417,12.829
Australia,BROOME,NaN,1159,NaN,-18.001,122.219
Nauru,NAURU-B,NaN,1844,NaN,-0.529,166.91
